id,sales
0,13.0
1,14.0
2,14.0
3,16.0
4,17.0
5,18.0
6,19.0
7,12.0
8,14.0
9,14.0
10,16.0
11,17.0
12,18.0
13,19.0
14,12.0
15,14.0
16,14.0
17,16.0
18,17.0
19,18.0
20,19.0
21,11.0
22,14.0
23,14.0
24,18.0
25,17.0
26,18.0
27,19.0
28,12.0
29,14.0
30,14.0
31,21.0
32,22.0
33,24.0
34,26.0
35,16.0
36,19.0
37,18.0
38,19.0
39,21.0
40,23.0
41,24.0
42,16.0
43,18.0
44,18.0
45,19.0
46,22.0
47,23.0
48,23.0
49,16.0
50,18.0
51,19.0
52,21.0
53,22.0
54,24.0
55,22.0
56,16.0
57,17.0
58,17.0
59,16.0
60,15.0
61,16.0
62,18.0
63,14.0
64,17.0
65,16.0
66,17.0
67,17.0
68,17.0
69,18.0
70,14.0
71,15.0
72,16.0
73,17.0
74,16.0
75,17.0
76,18.0
77,14.0
78,16.0
79,16.0
80,17.0
81,16.0
82,17.0
83,21.0
84,13.0
85,16.0
86,16.0
87,16.0
88,16.0
89,17.0
90,20.0
91,24.0
92,23.0
93,25.0
94,26.0
95,27.0
96,29.0
97,19.0
98,23.0
99,23.0
100,25.0
101,25.0
102,27.0
103,28.0
104,19.0
105,23.0
106,23.0
107,25.0
108,25.0
109,27.0
110,29.0
111,19.0
112,23.0
113,22.0
114,25.0
115,25.0
116,27.0
117,28.0
118,19.0
119,23.0
120,22.0
121,34.0
122,35.0
123,36.0
124,38.0
125,27.0
126,31.0
127,31.0
128,31.0
129,33.0
130,34.0
131,37.0
132,26.0
133,30.0
134,30.0
135,30.0
136,32.0
137,35.0
138,36.0
139,27.0
140,30.0
141,30.0
142,32.0
143,33.0
144,36.0
145,35.0
146,27.0
147,31.0
148,30.0
149,22.0
150,25.0
151,24.0
152,25.0
153,23.0
154,23.0
155,20.0
156,23.0
157,25.0
158,27.0
159,27.0
160,24.0
161,21.0
162,19.0
163,23.0
164,24.0
165,27.0
166,26.0
167,22.0
168,21.0
169,18.0
170,25.0
171,25.0
172,26.0
173,29.0
174,21.0
175,20.0
176,19.0
177,26.0
178,26.0
179,23.0
180,16.0
181,20.0
182,20.0
183,21.0
184,21.0
185,22.0
186,24.0
187,16.0
188,20.0
189,19.0
190,21.0
191,21.0
192,22.0
193,24.0
194,16.0
195,19.0
196,19.0
197,21.0
198,21.0
199,23.0
200,24.0
201,16.0
202,19.0
203,19.0
204,20.0
205,21.0
206,23.0
207,23.0
208,16.0
209,19.0
210,18.0
211,30.0
212,30.0
213,31.0
214,31.0
215,23.0
216,28.0
217,28.0
218,29.0
219,29.0
220,29.0
221,30.0
222,22.0
223,27.0
224,27.0
225,29.0
226,29.0
227,29.0
228,31.0
229,22.0
230,28.0
231,27.0
232,29.0
233,29.0
234,30.0
235,30.0
236,23.0
237,27.0
238,26.0
239,22.0
240,21.0
241,23.0
242,26.0
243,18.0
244,21.0
245,19.0
246,22.0
247,22.0
248,25.0
249,25.0
250,20.0
251,21.0
252,19.0
253,22.0
254,21.0
255,24.0
256,25.0
257,20.0
258,19.0
259,19.0
260,23.0
261,22.0
262,23.0
263,25.0
264,19.0
265,20.0
266,20.0
